disease,symptom,importance
alcohol intoxication,snoring,0.005
alcohol intoxication,fast heart rate,0.004
alcohol intoxication,problems with coordination,0.004
alcohol intoxication,leaking of urine,0.002
alcohol intoxication,hunger,0.002
alcohol intoxication,low oxygen in the body,0.002
alcohol intoxication,aggression,0.002
alcoholism,seizures,0.125
alcoholism,depression,0.09
alcoholism,sadness,0.09
alcoholism,slurred speech,0.061
alcoholism,anxiety,0.048
alcoholism,unsteady gait,0.03
alcoholism,fast heart rate,0.028
alcoholism,tremor,0.027
alcoholism,thoughts of suicide,0.023
alcoholism,agitation,0.016
alcoholism,substance abuse,0.015
alcoholism,confusion,0.012
alcoholism,visual hallucinations,0.012
alcoholism,shakiness,0.011
alcoholism,falling,0.009
alcoholism,vomiting,0.008
alcoholism,headache,0.008
alcoholism,screaming,0.007
alcoholism,vomiting blood,0.006
alcoholism,hearing voices,0.005
alcoholism,rapid involuntary eye movement,0.004
alcoholism,delirium,0.004
alcoholism,sweating,0.004
alcoholism,leg pain,0.004
alcoholism,wandering and getting lost,0.004
alcoholism,mental confusion,0.004
alzheimer's disease,confusion,0.071
alzheimer's disease,mental confusion,0.057
alzheimer's disease,fainting,0.028
alzheimer's disease,lethargy,0.026
alzheimer's disease,weakness,0.025
alzheimer's disease,agitation,0.025
alzheimer's disease,bruising,0.018
alzheimer's disease,depression,0.014
alzheimer's disease,sadness,0.014
alzheimer's disease,leaking of urine,0.014
alzheimer's disease,falling,0.013
alzheimer's disease,seizures,0.01
alzheimer's disease,hip pain,0.01
alzheimer's disease,unsteady gait,0.009
alzheimer's disease,aggression,0.007
alzheimer's disease,sleepiness,0.007
alzheimer's disease,leg pain,0.007
alzheimer's disease,wandering and getting lost,0.007
alzheimer's disease,failure to thrive,0.006
alzheimer's disease,drooping of upper eyelid,0.006
alzheimer's disease,memory loss,0.006
alzheimer's disease,slow heart rate,0.006
alzheimer's disease,malnutrition,0.005
alzheimer's disease,coughing,0.005
alzheimer's disease,weight loss,0.005
alzheimer's disease,low blood pressure,0.005
alzheimer's disease,abnormality walking,0.005
anaphylaxis,swelling,0.154
anaphylaxis,shortness of breath,0.099
anaphylaxis,itching,0.084
anaphylaxis,wheezing,0.082
anaphylaxis,redness,0.076
anaphylaxis,skin rash,0.072
anaphylaxis,facial swelling,0.053
anaphylaxis,tongue swelling,0.048
anaphylaxis,difficulty breathing,0.044
anaphylaxis,swelling under the skin,0.044
anaphylaxis,difficulty swallowing,0.044
anaphylaxis,anxiety,0.036
anaphylaxis,noisy breathing,0.032
anaphylaxis,chest tightness,0.029
anaphylaxis,diarrhea,0.029
anaphylaxis,fainting,0.024
anaphylaxis,nausea,0.024
anaphylaxis,fast heart rate,0.02
anaphylaxis,seizures,0.02
anaphylaxis,difficulty speaking,0.016
anaphylaxis,abdominal pain,0.014
anaphylaxis,flushing,0.014
anaphylaxis,crying,0.014
anaphylaxis,respiratory distress,0.013
anaphylaxis,hoarseness,0.013
anaphylaxis,itchy eyes,0.013
anaphylaxis,low blood pressure,0.013
anaphylaxis,acute episodes,0.012
anaphylaxis,infection,0.011
anaphylaxis,fatigue,0.01
anaphylaxis,dry mouth,0.01
anaphylaxis,chest discomfort,0.01
anaphylaxis,flank pain,0.009
anaphylaxis,joint pain,0.008
anaphylaxis,malnutrition,0.008
anaphylaxis,impaired voice,0.008
anemia,lethargy,0.096
anemia,weakness,0.087
anemia,fatigue,0.086
anemia,shortness of breath,0.052
anemia,dizziness,0.047
anemia,bleeding,0.046
anemia,lightheadedness,0.027
anemia,malnutrition,0.025
anemia,nausea,0.024
anemia,sadness,0.024
anemia,diarrhea,0.024
anemia,depression,0.024
anemia,fainting,0.02
anemia,low blood pressure,0.02
anemia,constipation,0.019
anemia,infection,0.017
anemia,abdominal pain,0.014
anemia,kidney failure,0.014
anemia,dehydration,0.013
anemia,vaginal bleeding,0.011
anemia,dark stool from digested blood,0.01
anemia,racing heartbeat,0.01
aneurysm,headache,0.128
aneurysm,dizziness,0.047
aneurysm,pain,0.047
aneurysm,nausea,0.046
aneurysm,weakness,0.037
aneurysm,back pain,0.028
aneurysm,neck pain,0.02
aneurysm,vertigo,0.018
aneurysm,fainting,0.016
aneurysm,numbness,0.015
aneurysm,blurred vision,0.014
aneurysm,lightheadedness,0.014
aneurysm,severe headache,0.013
aneurysm,seizures,0.011
aneurysm,ache,0.011
aneurysm,drooping of upper eyelid,0.009
angina,pain,0.352
angina,shortness of breath,0.154
angina,chest pressure,0.077
angina,nausea,0.075
angina,coughing,0.06
angina,chest discomfort,0.041
angina,racing heartbeat,0.039
angina,chest tightness,0.035
angina,dizziness,0.031
angina,anxiety,0.029
angina,lightheadedness,0.022
angina,headache,0.021
angina,discomfort,0.021
angina,back pain,0.02
angina,arm pain,0.02
angina,cough with phlegm,0.015
angina,numbness,0.014
angina,chest pain worsened by breathing,0.014
angina,fatigue,0.013
angina,depression,0.012
angina,fast heart rate,0.012
angina,sadness,0.012
angina,sharp pain,0.012
angina,pain in upper abdomen,0.012
angina,lethargy,0.011
angina,indigestion,0.01
angina,fainting,0.01
angina,chills,0.009
aphasia,problems with coordination,0.318
aphasia,weakness,0.181
aphasia,confusion,0.106
aphasia,mental confusion,0.088
aphasia,slurred speech,0.074
aphasia,numbness,0.071
aphasia,headache,0.049
aphasia,seizures,0.045
aphasia,weakness of one side of the body,0.042
aphasia,difficulty speaking,0.034
aphasia,blurred vision,0.018
aphasia,malnutrition,0.017
appendicitis,pain,0.881
appendicitis,nausea,0.401
appendicitis,abdominal pain,0.361
appendicitis,tenderness,0.163
appendicitis,chills,0.152
appendicitis,diarrhea,0.124
appendicitis,vomiting,0.118
appendicitis,fever,0.096
appendicitis,loss of appetite,0.068
appendicitis,lower abdominal pain,0.04
appendicitis,cramping,0.037
appendicitis,constipation,0.036
appendicitis,discomfort,0.033
appendicitis,cyst,0.03
appendicitis,pain in right lower abdomen,0.029
appendicitis,sharp pain,0.023
appendicitis,pain during urination,0.022
appendicitis,pain in upper abdomen,0.02
appendicitis,pelvic pain,0.017
appendicitis,flank pain,0.016
appendicitis,vaginal discharge,0.013
appendicitis,abdominal discomfort,0.013
appendicitis,dull pain,0.012
appendicitis,infection,0.011
arrhythmia,slow heart rate,0.176
arrhythmia,racing heartbeat,0.154
arrhythmia,fainting,0.113
arrhythmia,fast heart rate,0.112
arrhythmia,dizziness,0.089
arrhythmia,lightheadedness,0.068
arrhythmia,shortness of breath,0.045
arrhythmia,low blood pressure,0.035
arrhythmia,weakness,0.035
arrhythmia,lethargy,0.032
arrhythmia,chest pressure,0.027
arrhythmia,fatigue,0.026
arrhythmia,chest discomfort,0.012
arrhythmia,chest tightness,0.012
arrhythmia,feeling tired,0.007
arrhythmia,dehydration,0.007
arthritis,pain,0.406
arthritis,knee pain,0.098
arthritis,swelling,0.092
arthritis,hip pain,0.041
arthritis,shoulder pain,0.037
arthritis,back pain,0.03
arthritis,leg pain,0.029
arthritis,neck pain,0.024
arthritis,infection,0.022
arthritis,tenderness,0.022
arthritis,redness,0.019
arthritis,joint pain,0.018
arthritis,arm pain,0.017
arthritis,foot pain,0.012
arthritis,discomfort,0.012
arthritis,weakness,0.011
arthritis,depression,0.011
arthritis,sadness,0.011
arthritis,hand pain,0.01
arthritis,acute episodes,0.008
arthritis,chronic back pain,0.008
arthritis,wrist pain,0.008
arthritis,numbness,0.007
arthritis,severe pain,0.007
arthritis,diarrhea,0.007
arthritis,stiffness,0.006
arthritis,difficulty walking,0.006
arthritis,sharp pain,0.006
arthritis,cyst,0.006
arthritis,swollen joint,0.006
arthritis,ankle pain,0.006
arthritis,elbow pain,0.005
asthma,coughing,0.242
asthma,wheezing,0.173
asthma,shortness of breath,0.134
asthma,cough with phlegm,0.076
asthma,chest tightness,0.06
asthma,chills,0.046
asthma,acute episodes,0.044
asthma,fever,0.039
asthma,dry cough,0.032
asthma,anxiety,0.022
asthma,depression,0.021
asthma,sadness,0.021
asthma,sore throat,0.02
asthma,difficulty breathing,0.019
asthma,nasal congestion,0.014
asthma,headache,0.01
asthma,fast heart rate,0.009
asthma,phlegm,0.009
asthma,chest discomfort,0.008
asthma,chest pressure,0.008
asthma,runny nose,0.007
asthma,fatigue,0.007
asthma,back pain,0.006
asthma,fast breathing,0.005
asthma,malaise,0.005
asthma,racing heartbeat,0.005
asthma,lethargy,0.005
atopic dermatitis,skin rash,0.232
atopic dermatitis,itching,0.103
atopic dermatitis,redness,0.061
atopic dermatitis,anxiety,0.041
atopic dermatitis,infection,0.038
atopic dermatitis,dry skin,0.034
atopic dermatitis,lesion,0.034
atopic dermatitis,swelling,0.033
atopic dermatitis,chills,0.022
atopic dermatitis,acute episodes,0.021
atopic dermatitis,sadness,0.018
atopic dermatitis,depression,0.018
atopic dermatitis,insomnia,0.018
atopic dermatitis,coughing,0.016
atopic dermatitis,headache,0.016
atrial fibrillation,racing heartbeat,0.066
atrial fibrillation,weakness,0.042
atrial fibrillation,fast heart rate,0.035
atrial fibrillation,shortness of breath,0.034
atrial fibrillation,dizziness,0.028
atrial fibrillation,low blood pressure,0.023
atrial fibrillation,fainting,0.021
atrial fibrillation,lethargy,0.018
atrial fibrillation,lightheadedness,0.017
atrial fibrillation,chest pressure,0.013
atrial fibrillation,fatigue,0.013
atrial fibrillation,confusion,0.011
atrial fibrillation,mental confusion,0.01
atrial fibrillation,slow heart rate,0.01
atrial fibrillation,coughing,0.008
atrial fibrillation,chest discomfort,0.008
atrial fibrillation,bruising,0.008
bed bug bite,skin rash,0.329
bed bug bite,itching,0.173
bed bug bite,anxiety,0.048
bed bug bite,infection,0.029
bed bug bite,sadness,0.026
bed bug bite,depression,0.026
bed bug bite,red spots,0.018
bed bug bite,skin irritation,0.018
bed bug bite,sweating,0.016
bed bug bite,eye pain,0.015
bed bug bite,lesion,0.012
bed bug bite,substance abuse,0.011
bed bug bite,hallucination,0.009
bed bug bite,swollen feet,0.009
bed bug bite,skin lesion,0.009
bed bug bite,brief visual or sensory abnormality,0.009
bell's palsy,numbness,0.308
bell's palsy,weakness,0.198
bell's palsy,headache,0.134
bell's palsy,facial paralysis,0.071
bell's palsy,ear pain,0.052
bell's palsy,slurred speech,0.051
bell's palsy,paralysis,0.046
bell's palsy,facial pain,0.04
bell's palsy,neck pain,0.038
bell's palsy,facial swelling,0.037
bell's palsy,tongue numbness,0.031
bell's palsy,asymmetry,0.026
bell's palsy,blurred vision,0.024
bell's palsy,drooping of upper eyelid,0.02
bell's palsy,lesion,0.019
bell's palsy,malnutrition,0.019
bell's palsy,difficulty swallowing,0.018
bell's palsy,double vision,0.016
bipolar disorder,depression,0.183
bipolar disorder,sadness,0.183
bipolar disorder,anxiety,0.138
bipolar disorder,thoughts of suicide,0.056
bipolar disorder,agitation,0.042
bipolar disorder,manic episode,0.033
bipolar disorder,crying,0.03
bipolar disorder,racing thoughts,0.03
bipolar disorder,confusion,0.026
bipolar disorder,screaming,0.026
bipolar disorder,insomnia,0.025
bipolar disorder,hearing voices,0.023
bipolar disorder,paranoia,0.023
bipolar disorder,substance abuse,0.018
bipolar disorder,falling,0.015
bipolar disorder,mental confusion,0.014
bipolar disorder,lethargy,0.014
bipolar disorder,visual hallucinations,0.012
bipolar disorder,wandering and getting lost,0.011
bipolar disorder,seizures,0.01
bipolar disorder,chronic back pain,0.01
bipolar disorder,malnutrition,0.009
bipolar disorder,slurred speech,0.009
bipolar disorder,fast heart rate,0.009
bipolar disorder,panic attack,0.009
bipolar disorder,unsteady gait,0.009
bipolar disorder,fatigue,0.008
bipolar disorder,leaking of urine,0.008
bipolar disorder,aggression,0.007
bipolar disorder,low blood pressure,0.007
bipolar disorder,sleepiness,0.006
bipolar disorder,tremor,0.006
bipolar disorder,constipation,0.006
bipolar disorder,hunger,0.006
bipolar disorder,delirium,0.005
bladder cancer,pain,0.112
bladder cancer,blood in urine,0.092
bladder cancer,abdominal pain,0.039
bladder cancer,weakness,0.033
bladder cancer,urinary retention,0.033
bladder cancer,fever,0.032
bladder cancer,lethargy,0.029
bladder cancer,flank pain,0.027
bladder cancer,infection,0.026
bladder cancer,fatigue,0.025
bladder cancer,pain during urination,0.023
bladder cancer,discomfort,0.018
bladder cancer,bowel obstruction,0.018
bladder cancer,low blood pressure,0.018
bone fracture,pain,0.355
bone fracture,swelling,0.101
bone fracture,hip pain,0.054
bone fracture,falling,0.051
bone fracture,bruising,0.05
bone fracture,tenderness,0.047
bone fracture,physical deformity,0.046
bone fracture,back pain,0.037
bone fracture,ankle pain,0.027
bone fracture,knee pain,0.026
bone fracture,shoulder pain,0.025
bone fracture,neck pain,0.023
bone fracture,wrist pain,0.021
bone fracture,rib pain,0.021
bone fracture,arm pain,0.018
bone fracture,leg pain,0.017
bone fracture,numbness,0.016
bone fracture,foot pain,0.015
bone fracture,hand pain,0.014
bone fracture,severe pain,0.012
bone fracture,elbow pain,0.011
bone fracture,fainting,0.011
bone fracture,ice pack,0.008
bone fracture,bleeding,0.007
bone infection,infection,0.257
bone infection,pain,0.165
bone infection,fever,0.083
bone infection,redness,0.076
bone infection,back pain,0.076
bone infection,swelling,0.075
bone infection,chills,0.07
bone infection,foot pain,0.042
bone infection,chronic back pain,0.025
bone infection,depression,0.023
bone infection,sadness,0.023
bone infection,tenderness,0.023
bone infection,weakness,0.02
bone infection,confusion,0.015
bone infection,hip pain,0.012
bone infection,night sweats,0.011
bone infection,leg pain,0.011
bone infection,malaise,0.01
bone infection,discomfort,0.01
bone infection,incontinence,0.009
bone infection,fast heart rate,0.009
bone infection,watery diarrhea,0.009
bone infection,low blood pressure,0.008
bone infection,mental confusion,0.007
bone infection,cavity,0.006
borderline personality disorder,depression,0.343
borderline personality disorder,sadness,0.342
borderline personality disorder,anxiety,0.139
borderline personality disorder,thoughts of suicide,0.076
borderline personality disorder,abdominal pain,0.057
borderline personality disorder,crying,0.054
borderline personality disorder,seizures,0.037
borderline personality disorder,agitation,0.023
borderline personality disorder,loss of appetite,0.022
borderline personality disorder,screaming,0.022
borderline personality disorder,panic attack,0.015
borderline personality disorder,weight loss,0.014
borderline personality disorder,confusion,0.013
borderline personality disorder,impulsivity,0.009
borderline personality disorder,unsteady gait,0.009
borderline personality disorder,mood swings,0.009
borderline personality disorder,substance abuse,0.009
borderline personality disorder,anger,0.009
borderline personality disorder,visual hallucinations,0.008
borderline personality disorder,wandering and getting lost,0.008
borderline personality disorder,cramping,0.007
borderline personality disorder,nightmares,0.007
brain tumor,weakness,0.176
brain tumor,seizures,0.175
brain tumor,headache,0.123
brain tumor,confusion,0.117
brain tumor,mental confusion,0.096
brain tumor,lethargy,0.05
brain tumor,lesion,0.048
brain tumor,infection,0.043
brain tumor,vomiting,0.037
brain tumor,dizziness,0.034
brain tumor,numbness,0.033
brain tumor,unsteady gait,0.033
brain tumor,slurred speech,0.029
brain tumor,nausea,0.024
brain tumor,anxiety,0.02
brain tumor,memory loss,0.019
brain tumor,incontinence,0.019
brain tumor,double vision,0.017
brain tumor,vertigo,0.016
brain tumor,problems with coordination,0.016
brain tumor,fatigue,0.016
brain tumor,blurred vision,0.015
brain tumor,paralysis,0.013
brain tumor,difficulty speaking,0.011
brain tumor,weakness of one side of the body,0.011
brain tumor,disorientation,0.011
brain tumor,malnutrition,0.01
brain tumor,unsteadiness,0.01
brain tumor,facial pain,0.01
breast cancer,nausea,0.066
breast cancer,fever,0.052
breast cancer,weakness,0.043
breast cancer,shortness of breath,0.041
breast cancer,chills,0.026
breast cancer,dizziness,0.024
breast cancer,diarrhea,0.023
breast cancer,lethargy,0.023
breast cancer,fatigue,0.022
breast cancer,infection,0.019
breast cancer,back pain,0.017
breast cancer,coughing,0.017
breast cancer,headache,0.017
bronchitis,coughing,0.62
bronchitis,cough with phlegm,0.215
bronchitis,fever,0.117
bronchitis,chills,0.113
bronchitis,shortness of breath,0.097
bronchitis,wheezing,0.09
bronchitis,sore throat,0.074
bronchitis,dry cough,0.047
bronchitis,nasal congestion,0.039
bronchitis,phlegm,0.037
bronchitis,chest tightness,0.032
bronchitis,fatigue,0.028
bronchitis,lethargy,0.025
bronchitis,runny nose,0.022
bronchitis,malaise,0.019
bronchitis,persistent cough,0.019
bronchitis,chest pain worsened by breathing,0.014
bronchitis,chest discomfort,0.014
bronchitis,rib pain,0.012
bronchitis,headache,0.011
bronchitis,coughing up blood,0.011
bronchitis,low oxygen in the body,0.011
bronchitis,difficulty breathing,0.008
bronchitis,laryngitis,0.008
bronchitis,stuffy nose,0.007
bronchitis,anxiety,0.007
burn,pain,0.119
burn,redness,0.091
burn,blister,0.063
burn,skin rash,0.028
burn,indigestion,0.028
burn,infection,0.023
burn,heartburn,0.023
burn,depression,0.015
burn,sadness,0.015
burn,itching,0.013
burn,burning sensation,0.011
burn,swelling,0.01
burn,discomfort,0.008
burn,severe pain,0.008
burn,ice pack,0.008
burn,pain during urination,0.008
burn,peeling skin,0.008
burn,heat therapy,0.007
burn,pain in upper abdomen,0.006
cardiac arrest,seizures,0.019
cardiac arrest,fainting,0.015
cardiac arrest,low blood pressure,0.013
cardiac arrest,depression,0.011
cardiac arrest,sadness,0.011
cardiac arrest,bruising,0.011
cardiac arrest,thoughts of suicide,0.01
cardiac arrest,slow heart rate,0.01
cardiac arrest,crying,0.009
cardiac arrest,low body temperature,0.008
cardiac arrest,agitation,0.008
cardiac arrest,anxiety,0.008
cardiac arrest,respiratory distress,0.006
cardiac arrest,screaming,0.005
cardiac arrest,shivering,0.004
cardiac arrest,slurred speech,0.004
cardiac arrest,fluid in the lungs,0.004
cardiomyopathy,shortness of breath,0.064
cardiomyopathy,coughing,0.045
cardiomyopathy,fast heart rate,0.04
cardiomyopathy,chest pressure,0.028
cardiomyopathy,racing heartbeat,0.028
cardiomyopathy,low blood pressure,0.027
cardiomyopathy,fainting,0.026
cardiomyopathy,lightheadedness,0.021
cardiomyopathy,shortness of breath while lying down,0.021
cardiomyopathy,regurgitation,0.02
cardiomyopathy,dizziness,0.014
cardiomyopathy,weight gain,0.013
cardiomyopathy,lethargy,0.013
cardiomyopathy,fatigue,0.011
cardiomyopathy,dry cough,0.009
cardiomyopathy,anxiety,0.008
cardiomyopathy,cavity,0.008
cardiomyopathy,fluid in the lungs,0.007
cardiomyopathy,chest discomfort,0.007
cardiomyopathy,weakness,0.006
cardiomyopathy,cough with phlegm,0.006
carpal tunnel syndrome,numbness,0.175
carpal tunnel syndrome,pain,0.167
carpal tunnel syndrome,hand pain,0.094
carpal tunnel syndrome,weakness,0.083
carpal tunnel syndrome,arm pain,0.071
carpal tunnel syndrome,wrist pain,0.06
carpal tunnel syndrome,swelling,0.054
carpal tunnel syndrome,hand numbness,0.041
carpal tunnel syndrome,redness,0.03
carpal tunnel syndrome,pins and needles,0.024
carpal tunnel syndrome,shoulder pain,0.024
carpal tunnel syndrome,vertigo,0.02
carpal tunnel syndrome,hand swelling,0.016
carpal tunnel syndrome,neck pain,0.016
carpal tunnel syndrome,infection,0.014
carpal tunnel syndrome,depression,0.011
carpal tunnel syndrome,sadness,0.011
carpal tunnel syndrome,anxiety,0.011
carpal tunnel syndrome,chronic back pain,0.01
carpal tunnel syndrome,back pain,0.01
carpal tunnel syndrome,malnutrition,0.01
carpal tunnel syndrome,severe pain,0.008
carpal tunnel syndrome,unsteadiness,0.008
carpal tunnel syndrome,dry skin,0.008
cataracts,depression,0.043
cataracts,sadness,0.042
cataracts,eye pain,0.035
cataracts,weakness,0.031
cataracts,blurred vision,0.02
cataracts,vision loss,0.02
cataracts,vertigo,0.018
cataracts,constipation,0.017
cataracts,fainting,0.017
cataracts,headache,0.014
cataracts,slow heart rate,0.014
cataracts,dizziness,0.013
cataracts,leaking of urine,0.012
cataracts,difficulty swallowing,0.01
celiac disease,pain,0.458
celiac disease,nausea,0.232
celiac disease,diarrhea,0.195
celiac disease,abdominal pain,0.194
celiac disease,vomiting,0.101
celiac disease,cramping,0.045
celiac disease,pain in upper abdomen,0.041
celiac disease,weight loss,0.04
celiac disease,dizziness,0.033
celiac disease,fatigue,0.032
celiac disease,lethargy,0.031
celiac disease,dehydration,0.03
celiac disease,chills,0.03
celiac disease,watery diarrhea,0.026
celiac disease,constipation,0.024
celiac disease,weakness,0.024
celiac disease,infection,0.022
celiac disease,lightheadedness,0.02
celiac disease,back pain,0.02
celiac disease,loss of appetite,0.019
celiac disease,sharp pain,0.018
celiac disease,tenderness,0.014
celiac disease,yellow skin and eyes,0.013
celiac disease,malnutrition,0.012
celiac disease,upper abdominal pain,0.012
celiac disease,flushing,0.012
celiac disease,blood in stool,0.012
celiac disease,lower abdominal pain,0.012
celiac disease,abdominal discomfort,0.012
cellulitis,redness,0.508
cellulitis,swelling,0.404
cellulitis,pain,0.172
cellulitis,infection,0.124
cellulitis,fever,0.074
cellulitis,chills,0.074
cellulitis,skin rash,0.042
cellulitis,tenderness,0.039
cellulitis,leg pain,0.027
cellulitis,foot pain,0.022
cellulitis,itching,0.02
cellulitis,blister,0.016
cellulitis,lesion,0.014
cellulitis,pimple,0.013
cellulitis,hand swelling,0.012
cellulitis,facial swelling,0.011
cellulitis,scab,0.009
cellulitis,lower extremity pain,0.008
cervical cancer,pain,0.329
cervical cancer,abdominal pain,0.175
cervical cancer,nausea,0.129
cervical cancer,vomiting,0.078
cervical cancer,bleeding,0.068
cervical cancer,vaginal bleeding,0.064
cervical cancer,chills,0.052
cervical cancer,diarrhea,0.046
cervical cancer,bleeding from anus,0.045
cervical cancer,lethargy,0.044
cervical cancer,anxiety,0.042
cervical cancer,low blood pressure,0.039
cervical cancer,discomfort,0.033
cervical cancer,sadness,0.033
cervical cancer,depression,0.032
cervical cancer,redness,0.028
cervical cancer,fatigue,0.027
cervical cancer,pelvic pain,0.021
cervical cancer,abdominal distension,0.019
cervical radiculopathy,pain,0.557
cervical radiculopathy,numbness,0.379
cervical radiculopathy,neck pain,0.313
cervical radiculopathy,shoulder pain,0.193
cervical radiculopathy,weakness,0.177
cervical radiculopathy,arm pain,0.157
cervical radiculopathy,back pain,0.084
cervical radiculopathy,pins and needles,0.047
cervical radiculopathy,tenderness,0.032
cervical radiculopathy,hand numbness,0.026
cervical radiculopathy,discomfort,0.02
cervical radiculopathy,severe pain,0.02
cervical radiculopathy,radiating pain,0.019
cervical radiculopathy,sharp pain,0.017
cervical radiculopathy,depression,0.017
cervical radiculopathy,sadness,0.016
cervical radiculopathy,anxiety,0.016
cervical radiculopathy,chronic back pain,0.015
chicken pox,skin rash,0.47
chicken pox,itching,0.105
chicken pox,fever,0.087
chicken pox,burning sensation,0.042
chicken pox,headache,0.034
chicken pox,infection,0.034
chicken pox,lesion,0.032
chicken pox,chills,0.031
chicken pox,pain in upper abdomen,0.027
chicken pox,red rashes,0.027
chicken pox,sore throat,0.027
chicken pox,numbness,0.026
chicken pox,malnutrition,0.026
chicken pox,redness,0.025
chicken pox,nerve pain,0.025
chicken pox,stinging sensation,0.018
chicken pox,neck swelling,0.018
chicken pox,ear pain,0.015
chicken pox,ache,0.014
chicken pox,nausea,0.013
chicken pox,night sweats,0.012
chicken pox,pins and needles,0.011
chlamydia,pain,0.385
chlamydia,pain during urination,0.196
chlamydia,nausea,0.152
chlamydia,vaginal discharge,0.148
chlamydia,tenderness,0.13
chlamydia,abdominal pain,0.099
chlamydia,pelvic pain,0.089
chlamydia,cramping,0.078
chlamydia,chills,0.073
chlamydia,infection,0.065
chlamydia,vaginal bleeding,0.057
chlamydia,bleeding,0.054
chlamydia,pain in lower abdomen,0.052
chlamydia,discomfort,0.05
chlamydia,lower abdominal pain,0.049
chlamydia,vomiting,0.038
chlamydia,fever,0.038
chlamydia,discharge from penis,0.034
chlamydia,cyst,0.033
chlamydia,itching,0.032
cholangiocarcinoma,fever,0.268
cholangiocarcinoma,pain,0.201
cholangiocarcinoma,nausea,0.19
cholangiocarcinoma,abdominal pain,0.189
cholangiocarcinoma,yellow skin and eyes,0.112
cholangiocarcinoma,vomiting,0.099
cholangiocarcinoma,chills,0.097
cholangiocarcinoma,weakness,0.064
cholangiocarcinoma,lethargy,0.057
cholangiocarcinoma,fluid in the abdomen,0.056
cholangiocarcinoma,pain in upper abdomen,0.053
cholangiocarcinoma,dark urine,0.037
cholangiocarcinoma,shortness of breath,0.03
cholangiocarcinoma,constipation,0.029
cholangiocarcinoma,low blood pressure,0.026
cholangiocarcinoma,infection,0.026
cholangiocarcinoma,abdominal distension,0.025
cholangiocarcinoma,fatigue,0.022
cholangiocarcinoma,discomfort,0.021
cholangiocarcinoma,confusion,0.017
cholecystitis,pain,0.621
cholecystitis,abdominal pain,0.245
cholecystitis,nausea,0.225
cholecystitis,vomiting,0.123
cholecystitis,tenderness,0.061
cholecystitis,fever,0.057
cholecystitis,chills,0.056
cholecystitis,pain in upper abdomen,0.052
cholecystitis,diarrhea,0.051
